univerzita;dotacie;mzdy;dotacie-dokt;dotacie-stud;zamestnanci;int-dokt;dokt-abs;studenti;studenti-denni;absolventi;ubyt-kap-sd;ubyt-studenti-sd;prispevok-sd;pub-podiel-0771;pub-podiel-07712
UK;59596766;22666782;7239708;8844243;156;1559;NA;27422;20360;20606;10861;10099;800848;20,58763854;25,55786281
UPJŠ;18046181;6998049;1884564;2850229;50;314;NA;8699;7094;5066;1806;1785;126960;6,933861378;10,11116101
PU;13062238;5839476;1222676;4470705;28;205;NA;10571;6843;7006;1921;1954;154240;5,882696076;4,546439135
UCM;6701348;3098222;458464;1001229;0;77;NA;5912;4538;3444;224;218;13952;2,146064417;1,968392693
UVL;6715515;3041069;537528;808434;26;117;NA;1873;1572;1457;908;814;26048;1,860550473;2,207530375
UKF;15671333;6949623;1448312;2670702;55;242;NA;12388;8060;7709;1552;1551;124080;6,848412754;5,328136022
UMB;15692816;6639663;1274616;3050082;0;252;NA;12349;7564;7863;2434;2328;164480;7,486087298;5,747133521
TVU;8195021;3601492;851032;1128740;8;188;NA;7516;4386;3772;;;0;3,961346933;2,646462976
STU;46202540;17067566;5882256;5183162;1;1190;NA;18226;15961;16279;6724;6715;533360;11,39425702;14,62655039
TUKE;29350910;12177176;2838188;6752009;2;554;NA;16319;12365;12088;4984;5843;414400;7,26780239;6,931211201
ŽU;20430837;8275189;2102972;4136075;12;392;NA;11715;8879;8487;5044;4499;354448;3,931316038;3,157034674
TUAD;5997982;2843776;500044;789084;0;84;NA;5707;3142;4263;320;158;10048;1,252867458;1,267394739
EU;16989556;7489611;1315260;3112157;56;257;NA;12759;9808;8160;3530;3308;240288;6,038949426;4,144882663
SPU;15435365;6544134;1399328;2412016;10;258;NA;9964;6821;7448;3028;2536;164768;4,55325003;4,109295201
TUZVO;8525810;3681714;755260;1498175;280;153;NA;5235;3353;3216;1524;1484;88048;3,120947046;2,607415313
VŠMU;4922607;2043530;410944;242425;0;61;NA;1052;936;2159;;;0;0,231015654;0,106956055
VŠVU;3692731;1398953;289012;133417;0;57;NA;687;603;1283;;;0;0,468645771;0,118265926
AU;2663992;1187816;196196;293568;0;30;NA;629;560;1274;136;100;6400;0,223269125;0,085289225
KU;9145252;4097915;922312;2031039;0;166;NA;7353;3825;5969;631;541;28992;5,082953535;4,241489339
UJS;2086538;991549;84828;636283;0;9;NA;2403;1552;1188;513;468;37440;0,72806864;0,491096724
